Data,Open,High,Low,Price
2023-04-07,104.08,104.12,101.11,102.05
2023-04-08,102.05,104.17,102.47,103.32
2023-04-09,103.24,108.16,105.51,106.05
2023-04-10,106.0,118.41,103.67,115.65
2023-04-11,115.65,122.5,114.13,118.22
2023-04-12,118.22,126.61,120.52,121.22
2023-04-13,121.22,126.4,119.95,122.34
2023-04-14,122.34,122.87,119.11,120.15
2023-04-15,120.15,127.67,121.33,126.4
2023-04-16,126.35,126.99,121.49,122.28
2023-04-17,122.28,128.74,123.6,124.29
2023-04-18,124.17,117.68,109.55,116.2
2023-04-19,116.2,117.02,111.0,112.77
2023-04-20,112.77,110.43,107.59,108.82
2023-04-21,108.82,112.56,109.58,111.8
2023-04-22,111.8,112.9,108.43,109.86
2023-04-23,109.81,110.91,107.98,108.55
2023-04-24,108.55,112.01,109.51,111.52
2023-04-25,111.52,112.57,107.74,108.26
2023-04-26,108.26,113.42,109.74,111.83
2023-04-27,111.89,118.14,110.9,117.38
2023-04-28,117.38,120.59,115.79,116.65
2023-04-29,116.65,116.86,113.86,114.14
2023-04-30,114.28,111.42,108.75,110.94
2023-05-01,110.94,114.0,112.2,112.71
2023-05-02,112.71,113.11,108.85,111.58
2023-05-03,111.58,111.91,108.45,108.72
2023-05-04,108.73,115.42,111.65,113.73
2023-05-05,113.73,112.02,108.41,110.02
2023-05-06,110.02,111.51,107.75,108.79
2023-05-07,108.79,108.07,103.03,103.96
2023-05-08,104.1,105.0,102.49,103.64
2023-05-09,103.64,105.15,101.97,104.27
2023-05-10,104.27,101.85,98.75,100.48
2023-05-11,100.51,104.75,100.7,104.03
2023-05-12,104.03,104.99,102.59,103.3
2023-05-13,103.3,104.94,102.88,104.32
2023-05-14,104.32,105.38,103.31,103.49
2023-05-15,103.49,105.33,101.97,102.97
2023-05-16,102.95,105.52,103.69,104.5
2023-05-17,104.56,104.18,101.39,101.66
2023-05-18,101.64,102.78,101.87,102.03
2023-05-19,102.02,102.33,101.05,101.6
2023-05-20,101.6,101.5,97.6,98.6
2023-05-21,98.45,99.63,97.36,97.59
2023-05-22,97.56,100.82,98.13,100.35
2023-05-23,100.05,96.89,93.71,95.91
2023-05-24,95.91,98.9,96.69,96.92
2023-05-25,96.92,98.13,97.0,97.27
2023-05-26,97.21,103.16,97.45,102.7
2023-05-27,102.7,108.53,104.22,104.51
2023-05-28,104.45,104.38,102.91,103.95
2023-05-29,103.95,108.22,103.96,107.7
2023-05-30,107.7,106.29,104.91,105.81
2023-05-31,105.81,104.95,103.32,103.47
2023-06-01,103.47,106.75,103.72,106.09
2023-06-02,106.17,106.28,104.86,105.99
